outcome,feature_set,task,repeat,fold,feature,score_drop
delta_pos,published_litraj,regression,9,4,litraj_max_volume,0.008059646271520005
delta_pos,published_litraj,regression,9,4,litraj_min_mean_covalent_radius,-0.0010511149831787803
delta_pos,published_litraj,classification,0,0,litraj_min_volume,-0.0021929824561403577
delta_pos,published_litraj,classification,0,0,litraj_edge_length,-0.021929824561403466
delta_pos,published_litraj,classification,0,0,litraj_max_weighted_mean_oxidation,0.02412280701754388
delta_pos,published_litraj,classification,0,0,litraj_max_volume,-0.006578947368421018
delta_pos,published_litraj,classification,0,0,litraj_min_mean_covalent_radius,0.008771929824561486
delta_pos,published_litraj,classification,0,1,litraj_min_volume,0.010000000000000009
delta_pos,published_litraj,classification,0,1,litraj_edge_length,-0.003333333333333355
delta_pos,published_litraj,classification,0,1,litraj_max_weighted_mean_oxidation,-0.1766666666666667
delta_pos,published_litraj,classification,0,1,litraj_max_volume,0.022222222222222254
delta_pos,published_litraj,classification,0,1,litraj_min_mean_covalent_radius,0.007777777777777828
delta_pos,published_litraj,classification,0,2,litraj_min_volume,-0.03532608695652173
delta_pos,published_litraj,classification,0,2,litraj_edge_length,-0.005434782608695621
delta_pos,published_litraj,classification,0,2,litraj_max_weighted_mean_oxidation,0.02989130434782611
delta_pos,published_litraj,classification,0,2,litraj_max_volume,0.008152173913043514
delta_pos,published_litraj,classification,0,2,litraj_min_mean_covalent_radius,-0.043478260869565244
delta_pos,published_litraj,classification,0,3,litraj_min_volume,0.03947368421052633
delta_pos,published_litraj,classification,0,3,litraj_edge_length,-0.0032894736842103978
delta_pos,published_litraj,classification,0,3,litraj_max_weighted_mean_oxidation,0.23355263157894746
delta_pos,published_litraj,classification,0,3,litraj_max_volume,0.009868421052631637
delta_pos,published_litraj,classification,0,3,litraj_min_mean_covalent_radius,-0.003289473684210509
delta_pos,published_litraj,classification,0,4,litraj_min_volume,0.042440318302387314
delta_pos,published_litraj,classification,0,4,litraj_edge_length,-0.031830238726790416
delta_pos,published_litraj,classification,0,4,litraj_max_weighted_mean_oxidation,-0.18302387267904507
delta_pos,published_litraj,classification,0,4,litraj_max_volume,-0.010610079575596787
delta_pos,published_litraj,classification,0,4,litraj_min_mean_covalent_radius,0.06631299734748014
delta_pos,published_litraj,classification,1,0,litraj_min_volume,-0.006896551724137889
delta_pos,published_litraj,classification,1,0,litraj_edge_length,-0.110344827586207
delta_pos,published_litraj,classification,1,0,litraj_max_weighted_mean_oxidation,-0.03448275862068967
delta_pos,published_litraj,classification,1,0,litraj_max_volume,-0.02298850574712641
delta_pos,published_litraj,classification,1,0,litraj_min_mean_covalent_radius,-0.04827586206896556
delta_pos,published_litraj,classification,1,1,litraj_min_volume,0.02000000000000013
delta_pos,published_litraj,classification,1,1,litraj_edge_length,0.028000000000000025
delta_pos,published_litraj,classification,1,1,litraj_max_weighted_mean_oxidation,0.14200000000000013
delta_pos,published_litraj,classification,1,1,litraj_max_volume,-0.06799999999999995
delta_pos,published_litraj,classification,1,1,litraj_min_mean_covalent_radius,0.07000000000000006
delta_pos,published_litraj,classification,1,2,litraj_min_volume,-0.04499999999999993
