outcome,repeat,n_hops,seeds_a,seeds_b,pearson,spearman
bvse_delta_benefit,48,220,23;35;87;93;803,41;59;71;155;201,0.8940516254275354,0.8857136417168648
bvse_delta_benefit,49,220,23;35;87;155;201,41;59;71;93;803,0.8982561437783878,0.8835734772882234
bvse_delta_benefit,50,220,23;35;87;155;803,41;59;71;93;201,0.8787934577181726,0.8907670894778066
bvse_delta_benefit,51,220,23;35;87;201;803,41;59;71;93;155,0.8718770567993661,0.8530657094718335
bvse_delta_benefit,52,220,23;35;93;155;201,41;59;71;87;803,0.9391490871235743,0.9285022793483713
bvse_delta_benefit,53,220,23;35;93;155;803,41;59;71;87;201,0.9214158356821873,0.9136360818874921
bvse_delta_benefit,54,220,23;35;93;201;803,41;59;71;87;155,0.9112060248373913,0.8927382045834906
bvse_delta_benefit,55,220,23;35;155;201;803,41;59;71;87;93,0.9139894187719872,0.896781864388633
bvse_delta_benefit,56,220,23;41;59;71;87,35;93;155;201;803,0.9346367820459373,0.9183548119889778
bvse_delta_benefit,57,220,23;41;59;71;93,35;87;155;201;803,0.9148711859122555,0.8979268918027984
bvse_delta_benefit,58,220,23;41;59;71;155,35;87;93;201;803,0.9280813304778259,0.9097716143646843
bvse_delta_benefit,59,220,23;41;59;71;201,35;87;93;155;803,0.9464608497467915,0.9330868969869774
bvse_delta_benefit,60,220,23;41;59;71;803,35;87;93;155;201,0.9525639126481616,0.9423214980024004
bvse_delta_benefit,61,220,23;41;59;87;93,35;71;155;201;803,0.9231542635275103,0.8914252548418543
bvse_delta_benefit,62,220,23;41;59;87;155,35;71;93;201;803,0.9193997092844359,0.9062914523027334
bvse_delta_benefit,63,220,23;41;59;87;201,35;71;93;155;803,0.927921656159078,0.8897527935400619
bvse_delta_benefit,64,220,23;41;59;87;803,35;71;93;155;201,0.9254046204161983,0.9015659602283294
bvse_delta_benefit,65,220,23;41;59;93;155,35;71;87;201;803,0.9184091267555771,0.9006666178301956
bvse_delta_benefit,66,220,23;41;59;93;201,35;71;87;155;803,0.9238976430088385,0.9196959366177738
bvse_delta_benefit,67,220,23;41;59;93;803,35;71;87;155;201,0.9240044030970372,0.8976079520801519
bvse_delta_benefit,68,220,23;41;59;155;201,35;71;87;93;803,0.9389841977453905,0.9408045620777289
bvse_delta_benefit,69,220,23;41;59;155;803,35;71;87;93;201,0.9457766271903953,0.9332920101654992
bvse_delta_benefit,70,220,23;41;59;201;803,35;71;87;93;155,0.947975472299299,0.9187143235491341
bvse_delta_benefit,71,220,23;41;71;87;93,35;59;155;201;803,0.9078909338126306,0.8924440587615446
bvse_delta_benefit,72,220,23;41;71;87;155,35;59;93;201;803,0.906646819204857,0.8882854454167911
bvse_delta_benefit,73,220,23;41;71;87;201,35;59;93;155;803,0.9327347986977534,0.9073857649200114
bvse_delta_benefit,74,220,23;41;71;87;803,35;59;93;155;201,0.9136863682246911,0.9250942449975488
bvse_delta_benefit,75,220,23;41;71;93;155,35;59;87;201;803,0.8910206549381122,0.8680209395761369
bvse_delta_benefit,76,220,23;41;71;93;201,35;59;87;155;803,0.9136970331068718,0.9077396415027358
bvse_delta_benefit,77,220,23;41;71;93;803,35;59;87;155;201,0.897536113500636,0.8882933343851959
bvse_delta_benefit,78,220,23;41;71;155;201,35;59;87;93;803,0.9310882562520865,0.9116007280390842
bvse_delta_benefit,79,220,23;41;71;155;803,35;59;87;93;201,0.9212020715164135,0.9111442948670989
bvse_delta_benefit,80,220,23;41;71;201;803,35;59;87;93;155,0.9411834989766886,0.9268827868344387
bvse_delta_benefit,81,220,23;41;87;93;155,35;59;71;201;803,0.9112961949525885,0.8751119951764593
bvse_delta_benefit,82,220,23;41;87;93;201,35;59;71;155;803,0.9248016896075413,0.8915796532234889
